Year,CBSA,CBSA Code,Date,AQI,Category,Defining Parameter,Defining Site,Number of Sites Reporting
2021,"Salt Lake City, UT",41620,2/6/2021,58,Moderate,PM10,49-035-3015,8
2021,"Salt Lake City, UT",41620,2/7/2021,42,Good,PM10,49-035-3015,8
2021,"Salt Lake City, UT",41620,2/8/2021,46,Good,NO2,49-035-3015,7
2021,"Salt Lake City, UT",41620,2/9/2021,46,Good,PM2.5,49-035-4002,7
2021,"Salt Lake City, UT",41620,2/10/2021,51,Moderate,PM2.5,49-035-4002,8
2021,"Salt Lake City, UT",41620,2/11/2021,42,Good,PM2.5,49-035-4002,8
2021,"Salt Lake City, UT",41620,2/12/2021,31,Good,Ozone,49-035-3013,8
2021,"Salt Lake City, UT",41620,2/13/2021,33,Good,Ozone,49-035-3013,8
2021,"Salt Lake City, UT",41620,2/14/2021,41,Good,PM2.5,49-035-4002,8
2021,"Salt Lake City, UT",41620,2/15/2021,37,Good,Ozone,49-035-3013,8
2021,"Salt Lake City, UT",41620,2/16/2021,36,Good,Ozone,49-035-3013,8
2021,"Salt Lake City, UT",41620,2/17/2021,42,Good,NO2,49-035-3015,8
2021,"Salt Lake City, UT",41620,2/18/2021,42,Good,PM2.5,49-035-4002,8
2021,"Salt Lake City, UT",41620,2/19/2021,42,Good,PM2.5,49-035-4002,8
2021,"Salt Lake City, UT",41620,2/20/2021,38,Good,Ozone,49-035-3010,8
2021,"Salt Lake City, UT",41620,2/21/2021,37,Good,Ozone,49-035-3013,8
2021,"Salt Lake City, UT",41620,2/22/2021,43,Good,PM2.5,49-035-4002,8
2021,"Salt Lake City, UT",41620,2/23/2021,45,Good,NO2,49-035-3006,8
2021,"Salt Lake City, UT",41620,2/24/2021,41,Good,NO2,49-035-3006,8
2021,"Salt Lake City, UT",41620,2/25/2021,41,Good,NO2,49-035-3006,8
2021,"Salt Lake City, UT",41620,2/26/2021,39,Good,Ozone,49-035-3013,8
2021,"Salt Lake City, UT",41620,2/27/2021,38,Good,Ozone,49-035-3013,8
2021,"Salt Lake City, UT",41620,2/28/2021,38,Good,Ozone,49-035-3010,8
2021,"Salt Lake City, UT",41620,3/1/2021,54,Moderate,PM2.5,49-035-4002,9
2021,"Salt Lake City, UT",41620,3/2/2021,59,Moderate,PM2.5,49-035-4002,9
2021,"Salt Lake City, UT",41620,3/3/2021,56,Moderate,PM2.5,49-035-4002,8
2021,"Salt Lake City, UT",41620,3/4/2021,52,Moderate,PM2.5,49-035-3010,9
2021,"Salt Lake City, UT",41620,3/5/2021,52,Moderate,PM2.5,49-035-4002,9
2021,"Salt Lake City, UT",41620,3/6/2021,64,Moderate,PM2.5,49-045-0004,9
2021,"Salt Lake City, UT",41620,3/7/2021,54,Moderate,PM10,49-035-3006,9
2021,"Salt Lake City, UT",41620,3/8/2021,58,Moderate,PM10,49-035-3015,9
2021,"Salt Lake City, UT",41620,3/9/2021,42,Good,Ozone,49-035-3016,9
2021,"Salt Lake City, UT",41620,3/10/2021,41,Good,Ozone,49-035-3010,9
2021,"Salt Lake City, UT",41620,3/11/2021,36,Good,NO2,49-035-3016,9
2021,"Salt Lake City, UT",41620,3/12/2021,49,Good,PM2.5,49-035-4002,9
2021,"Salt Lake City, UT",41620,3/13/2021,37,Good,PM2.5,49-035-4002,9
2021,"Salt Lake City, UT",41620,3/14/2021,41,Good,Ozone,49-035-3010,9
2021,"Salt Lake City, UT",41620,3/15/2021,44,Good,Ozone,49-035-3015,9
2021,"Salt Lake City, UT",41620,3/16/2021,45,Good,Ozone,49-035-3016,9
2021,"Salt Lake City, UT",41620,3/17/2021,52,Moderate,PM2.5,49-035-4002,9
2021,"Salt Lake City, UT",41620,3/18/2021,45,Good,Ozone,49-035-3016,9
2021,"Salt Lake City, UT",41620,3/19/2021,44,Good,Ozone,49-035-3016,9
2021,"Salt Lake City, UT",41620,3/20/2021,43,Good,Ozone,49-035-3016,9
2021,"Salt Lake City, UT",41620,3/21/2021,45,Good,Ozone,49-035-0015,10
2021,"Salt Lake City, UT",41620,3/22/2021,47,Good,Ozone,49-035-0015,10
2021,"Salt Lake City, UT",41620,3/23/2021,52,Moderate,PM2.5,49-035-4002,10
2021,"Salt Lake City, UT",41620,3/24/2021,46,Good,Ozone,49-035-0015,10
2021,"Salt Lake City, UT",41620,3/25/2021,46,Good,Ozone,49-035-0015,9
2021,"Salt Lake City, UT",41620,3/26/2021,44,Good,Ozone,49-035-0015,9
2021,"Salt Lake City, UT",41620,3/27/2021,47,Good,Ozone,49-035-0015,9
2021,"Salt Lake City, UT",41620,3/28/2021,46,Good,Ozone,49-035-0015,9
2021,"Salt Lake City, UT",41620,3/29/2021,63,Moderate,PM10,49-035-3015,10
2021,"Salt Lake City, UT",41620,3/30/2021,48,Good,Ozone,49-035-0015,10
2021,"Salt Lake City, UT",41620,3/31/2021,61,Moderate,Ozone,49-035-0015,10
2021,"Salt Lake City, UT",41620,4/1/2021,71,Moderate,Ozone,49-035-0015,10
2021,"Salt Lake City, UT",41620,4/2/2021,61,Moderate,Ozone,49-035-0015,10
2021,"Salt Lake City, UT",41620,4/3/2021,52,Moderate,PM2.5,49-035-4002,10
2021,"Salt Lake City, UT",41620,4/4/2021,50,Good,Ozone,49-035-0015,10
2021,"Salt Lake City, UT",41620,4/5/2021,81,Moderate,PM10,49-035-3015,10
2021,"Salt Lake City, UT",41620,4/6/2021,58,Moderate,Ozone,49-035-0015,10
2021,"Salt Lake City, UT",41620,4/7/2021,51,Moderate,Ozone,49-035-0015,10
2021,"Salt Lake City, UT",41620,4/8/2021,51,Moderate,PM2.5,49-035-3016,10
2021,"Salt Lake City, UT",41620,4/9/2021,71,Moderate,Ozone,49-035-0015,10
2021,"Salt Lake City, UT",41620,4/10/2021,50,Good,Ozone,49-035-0015,10
2021,"Salt Lake City, UT",41620,4/11/2021,97,Moderate,Ozone,49-035-3016,10
2021,"Salt Lake City, UT",41620,4/12/2021,80,Moderate,Ozone,49-035-0015,10
2021,"Salt Lake City, UT",41620,4/13/2021,58,Moderate,Ozone,49-035-0015,10
2021,"Salt Lake City, UT",41620,4/14/2021,67,Moderate,Ozone,49-035-0015,10
2021,"Salt Lake City, UT",41620,4/15/2021,43,Good,Ozone,49-035-0015,10
2021,"Salt Lake City, UT",41620,4/16/2021,42,Good,Ozone,49-035-0015,10
2021,"Salt Lake City, UT",41620,4/17/2021,50,Good,Ozone,49-035-0015,10
2021,"Salt Lake City, UT",41620,4/18/2021,54,Moderate,Ozone,49-035-0015,10
2021,"Salt Lake City, UT",41620,4/19/2021,71,Moderate,Ozone,49-035-0015,10
2021,"Salt Lake City, UT",41620,4/20/2021,74,Moderate,Ozone,49-035-0015,10
2021,"Salt Lake City, UT",41620,4/21/2021,54,Moderate,Ozone,49-035-0015,10
2021,"Salt Lake City, UT",41620,4/22/2021,67,Moderate,Ozone,49-035-0015,10
2021,"Salt Lake City, UT",41620,4/23/2021,64,Moderate,Ozone,49-035-0015,10
2021,"Salt Lake City, UT",41620,4/24/2021,61,Moderate,Ozone,49-035-0015,10
2021,"Salt Lake City, UT",41620,4/25/2021,47,Good,Ozone,49-035-0015,10
2021,"Salt Lake City, UT",41620,4/26/2021,49,Good,Ozone,49-035-0015,10
2021,"Salt Lake City, UT",41620,4/27/2021,49,Good,Ozone,49-035-0015,10
2021,"Salt Lake City, UT",41620,4/28/2021,58,Moderate,Ozone,49-035-0015,10
2021,"Salt Lake City, UT",41620,4/29/2021,77,Moderate,Ozone,49-035-0015,10
2021,"Salt Lake City, UT",41620,4/30/2021,80,Moderate,Ozone,49-035-3014,10
2021,"Salt Lake City, UT",41620,5/1/2021,47,Good,Ozone,49-035-0015,10
2021,"Salt Lake City, UT",41620,5/2/2021,49,Good,Ozone,49-035-0015,10
2021,"Salt Lake City, UT",41620,5/3/2021,47,Good,Ozone,49-035-0015,10
2021,"Salt Lake City, UT",41620,5/4/2021,50,Good,Ozone,49-035-0015,10
2021,"Salt Lake City, UT",41620,5/5/2021,97,Moderate,Ozone,49-035-0015,10
2021,"Salt Lake City, UT",41620,5/6/2021,84,Moderate,Ozone,49-035-3016,10
2021,"Salt Lake City, UT",41620,5/7/2021,71,Moderate,PM10,49-035-3015,10
2021,"Salt Lake City, UT",41620,5/8/2021,58,Moderate,Ozone,49-035-0015,10
2021,"Salt Lake City, UT",41620,5/9/2021,54,Moderate,Ozone,49-035-0015,10
2021,"Salt Lake City, UT",41620,5/10/2021,48,Good,Ozone,49-035-0015,10
2021,"Salt Lake City, UT",41620,5/11/2021,64,Moderate,Ozone,49-035-0015,10
2021,"Salt Lake City, UT",41620,5/12/2021,64,Moderate,Ozone,49-035-0015,10
2021,"Salt Lake City, UT",41620,5/13/2021,67,Moderate,Ozone,49-035-0015,10
2021,"Salt Lake City, UT",41620,5/14/2021,77,Moderate,Ozone,49-035-0015,10
2021,"Salt Lake City, UT",41620,5/15/2021,90,Moderate,Ozone,49-035-0015,10
2021,"Salt Lake City, UT",41620,5/16/2021,54,Moderate,Ozone,49-035-0015,10
2021,"Salt Lake City, UT",41620,5/17/2021,50,Good,Ozone,49-035-0015,10
2021,"Salt Lake City, UT",41620,5/18/2021,61,Moderate,Ozone,49-035-0015,10
2021,"Salt Lake City, UT",41620,5/19/2021,77,Moderate,Ozone,49-035-0015,10
2021,"Salt Lake City, UT",41620,5/20/2021,77,Moderate,Ozone,49-035-0015,10
2021,"Salt Lake City, UT",41620,5/21/2021,61,Moderate,Ozone,49-035-0015,10
2021,"Salt Lake City, UT",41620,5/22/2021,77,Moderate,Ozone,49-035-3016,10
2021,"Salt Lake City, UT",41620,5/23/2021,51,Moderate,Ozone,49-035-0015,10
2021,"Salt Lake City, UT",41620,5/24/2021,49,Good,Ozone,49-035-3016,10
2021,"Salt Lake City, UT",41620,5/25/2021,50,Good,Ozone,49-035-0015,10
2021,"Salt Lake City, UT",41620,5/26/2021,71,Moderate,Ozone,49-035-0015,10
2021,"Salt Lake City, UT",41620,5/27/2021,71,Moderate,Ozone,49-035-3014,10
2021,"Salt Lake City, UT",41620,5/28/2021,77,Moderate,Ozone,49-035-0015,10
2021,"Salt Lake City, UT",41620,5/29/2021,77,Moderate,Ozone,49-035-3016,10
2021,"Salt Lake City, UT",41620,5/30/2021,58,Moderate,Ozone,49-035-3016,10
2021,"Salt Lake City, UT",41620,5/31/2021,67,Moderate,Ozone,49-035-0015,10
2021,"Salt Lake City, UT",41620,6/1/2021,77,Moderate,Ozone,49-035-0015,10
2021,"Salt Lake City, UT",41620,6/2/2021,97,Moderate,Ozone,49-035-0015,10
2021,"Salt Lake City, UT",41620,6/3/2021,105,Unhealthy for Sensitive Groups,Ozone,49-035-4002,10
2021,"Salt Lake City, UT",41620,6/4/2021,105,Unhealthy for Sensitive Groups,Ozone,49-035-3010,10
2021,"Salt Lake City, UT",41620,6/5/2021,71,Moderate,Ozone,49-035-3015,10
2021,"Salt Lake City, UT",41620,6/6/2021,93,Moderate,Ozone,49-035-4002,10
2021,"Salt Lake City, UT",41620,6/7/2021,77,Moderate,Ozone,49-035-3016,10
2021,"Salt Lake City, UT",41620,6/8/2021,67,Moderate,Ozone,49-035-3016,10
2021,"Salt Lake City, UT",41620,6/9/2021,64,Moderate,PM2.5,49-045-0004,10
2021,"Salt Lake City, UT",41620,6/10/2021,71,Moderate,PM2.5,49-045-0004,10
2021,"Salt Lake City, UT",41620,6/11/2021,87,Moderate,Ozone,49-035-3013,10
2021,"Salt Lake City, UT",41620,6/12/2021,119,Unhealthy for Sensitive Groups,Ozone,49-035-3016,10
2021,"Salt Lake City, UT",41620,6/13/2021,77,Moderate,Ozone,49-035-3016,10
2021,"Salt Lake City, UT",41620,6/14/2021,54,Moderate,PM2.5,49-045-0004,10
2021,"Salt Lake City, UT",41620,6/15/2021,80,Moderate,PM2.5,49-045-0004,10
2021,"Salt Lake City, UT",41620,6/16/2021,105,Unhealthy for Sensitive Groups,Ozone,49-035-3013,10
2021,"Salt Lake City, UT",41620,6/17/2021,108,Unhealthy for Sensitive Groups,Ozone,49-035-4002,10
2021,"Salt Lake City, UT",41620,6/18/2021,101,Unhealthy for Sensitive Groups,Ozone,49-035-3015,10
2021,"Salt Lake City, UT",41620,6/19/2021,71,Moderate,Ozone,49-035-3014,10
2021,"Salt Lake City, UT",41620,6/20/2021,53,Moderate,PM2.5,49-035-4002,10
2021,"Salt Lake City, UT",41620,6/21/2021,122,Unhealthy for Sensitive Groups,Ozone,49-035-3013,10
2021,"Salt Lake City, UT",41620,6/22/2021,87,Moderate,Ozone,49-035-3016,10
2021,"Salt Lake City, UT",41620,6/23/2021,74,Moderate,Ozone,49-035-3015,10
2021,"Salt Lake City, UT",41620,6/24/2021,56,Moderate,PM2.5,49-035-3006,10
2021,"Salt Lake City, UT",41620,6/25/2021,54,Moderate,Ozone,49-035-2005,10
2021,"Salt Lake City, UT",41620,6/26/2021,64,Moderate,Ozone,49-035-4002,10
2021,"Salt Lake City, UT",41620,6/27/2021,61,Moderate,Ozone,49-035-3013,10
2021,"Salt Lake City, UT",41620,6/28/2021,50,Good,Ozone,49-035-4002,10
2021,"Salt Lake City, UT",41620,6/29/2021,71,Moderate,Ozone,49-035-3014,10
2021,"Salt Lake City, UT",41620,6/30/2021,61,Moderate,Ozone,49-035-3016,10
2021,"Salt Lake City, UT",41620,7/1/2021,87,Moderate,Ozone,49-035-3015,10
2021,"Salt Lake City, UT",41620,7/2/2021,97,Moderate,Ozone,49-035-3015,10
2021,"Salt Lake City, UT",41620,7/3/2021,93,Moderate,Ozone,49-035-2005,10
2021,"Salt Lake City, UT",41620,7/4/2021,97,Moderate,Ozone,49-035-3015,10
2021,"Salt Lake City, UT",41620,7/5/2021,74,Moderate,Ozone,49-035-3013,10
2021,"Salt Lake City, UT",41620,7/6/2021,97,Moderate,Ozone,49-035-0015,10
2021,"Salt Lake City, UT",41620,7/7/2021,100,Moderate,Ozone,49-035-3015,10
2021,"Salt Lake City, UT",41620,7/8/2021,119,Unhealthy for Sensitive Groups,Ozone,49-035-2005,10
2021,"Salt Lake City, UT",41620,7/9/2021,108,Unhealthy for Sensitive Groups,Ozone,49-035-0015,10
2021,"Salt Lake City, UT",41620,7/10/2021,133,Unhealthy for Sensitive Groups,Ozone,49-035-4002,10
2021,"Salt Lake City, UT",41620,7/11/2021,150,Unhealthy for Sensitive Groups,Ozone,49-035-4002,10
2021,"Salt Lake City, UT",41620,7/12/2021,177,Unhealthy,Ozone,49-035-2005,10
2021,"Salt Lake City, UT",41620,7/13/2021,74,Moderate,Ozone,49-035-3015,10
2021,"Salt Lake City, UT",41620,7/14/2021,100,Moderate,Ozone,49-035-3015,10
2021,"Salt Lake City, UT",41620,7/15/2021,105,Unhealthy for Sensitive Groups,Ozone,49-035-3015,10
2021,"Salt Lake City, UT",41620,7/16/2021,115,Unhealthy for Sensitive Groups,Ozone,49-035-3015,10
2021,"Salt Lake City, UT",41620,7/17/2021,119,Unhealthy for Sensitive Groups,Ozone,49-035-3015,10
2021,"Salt Lake City, UT",41620,7/18/2021,129,Unhealthy for Sensitive Groups,Ozone,49-035-3015,10
2021,"Salt Lake City, UT",41620,7/19/2021,87,Moderate,Ozone,49-035-0015,10
2021,"Salt Lake City, UT",41620,7/20/2021,119,Unhealthy for Sensitive Groups,Ozone,49-035-3015,10
2021,"Salt Lake City, UT",41620,7/21/2021,119,Unhealthy for Sensitive Groups,Ozone,49-035-3014,10
2021,"Salt Lake City, UT",41620,7/22/2021,108,Unhealthy for Sensitive Groups,Ozone,49-035-3016,10
2021,"Salt Lake City, UT",41620,7/23/2021,105,Unhealthy for Sensitive Groups,Ozone,49-035-2005,10
2021,"Salt Lake City, UT",41620,7/24/2021,143,Unhealthy for Sensitive Groups,Ozone,49-035-4002,10
2021,"Salt Lake City, UT",41620,7/25/2021,136,Unhealthy for Sensitive Groups,Ozone,49-035-0015,10
2021,"Salt Lake City, UT",41620,7/26/2021,154,Unhealthy,Ozone,49-035-3016,10
2021,"Salt Lake City, UT",41620,7/27/2021,74,Moderate,Ozone,49-035-3006,10
2021,"Salt Lake City, UT",41620,7/28/2021,90,Moderate,Ozone,49-035-3013,10
2021,"Salt Lake City, UT",41620,7/29/2021,115,Unhealthy for Sensitive Groups,Ozone,49-035-3013,10
2021,"Salt Lake City, UT",41620,7/30/2021,129,Unhealthy for Sensitive Groups,Ozone,49-035-3016,10
2021,"Salt Lake City, UT",41620,7/31/2021,115,Unhealthy for Sensitive Groups,Ozone,49-035-3013,10
2021,"Salt Lake City, UT",41620,8/1/2021,101,Unhealthy for Sensitive Groups,Ozone,49-035-4002,10
2021,"Salt Lake City, UT",41620,8/2/2021,54,Moderate,Ozone,49-035-3013,10
2021,"Salt Lake City, UT",41620,8/3/2021,100,Moderate,Ozone,49-035-4002,10
2021,"Salt Lake City, UT",41620,8/4/2021,154,Unhealthy,Ozone,49-035-4002,10
2021,"Salt Lake City, UT",41620,8/5/2021,90,Moderate,Ozone,49-035-3013,10
2021,"Salt Lake City, UT",41620,8/6/2021,156,Unhealthy,PM2.5,49-035-3013,10
2021,"Salt Lake City, UT",41620,8/7/2021,164,Unhealthy,Ozone,49-035-3013,10
2021,"Salt Lake City, UT",41620,8/8/2021,159,Unhealthy,Ozone,49-035-2005,10
2021,"Salt Lake City, UT",41620,8/9/2021,94,Moderate,PM2.5,49-035-3013,10
2021,"Salt Lake City, UT",41620,8/10/2021,91,Moderate,PM2.5,49-035-3006,10
2021,"Salt Lake City, UT",41620,8/11/2021,90,Moderate,Ozone,49-035-3013,10
2021,"Salt Lake City, UT",41620,8/12/2021,97,Moderate,Ozone,49-035-0015,10
2021,"Salt Lake City, UT",41620,8/13/2021,93,Moderate,Ozone,49-035-3006,10
2021,"Salt Lake City, UT",41620,8/14/2021,87,Moderate,Ozone,49-035-3013,10
2021,"Salt Lake City, UT",41620,8/15/2021,143,Unhealthy for Sensitive Groups,PM2.5,49-035-3013,10
2021,"Salt Lake City, UT",41620,8/16/2021,156,Unhealthy,Ozone,49-035-3013,10
2021,"Salt Lake City, UT",41620,8/17/2021,100,Moderate,Ozone,49-035-0015,10
2021,"Salt Lake City, UT",41620,8/18/2021,157,Unhealthy,PM2.5,49-045-0004,10
2021,"Salt Lake City, UT",41620,8/19/2021,128,Unhealthy for Sensitive Groups,PM2.5,49-035-2005,10
2021,"Salt Lake City, UT",41620,8/20/2021,101,Unhealthy for Sensitive Groups,Ozone,49-035-3015,10
2021,"Salt Lake City, UT",41620,8/21/2021,61,Moderate,Ozone,49-035-3013,10
2021,"Salt Lake City, UT",41620,8/22/2021,77,Moderate,Ozone,49-035-3015,10
2021,"Salt Lake City, UT",41620,8/23/2021,84,Moderate,Ozone,49-035-3013,10
2021,"Salt Lake City, UT",41620,8/24/2021,87,Moderate,Ozone,49-035-0015,10
2021,"Salt Lake City, UT",41620,8/25/2021,56,Moderate,PM2.5,49-035-3016,10
2021,"Salt Lake City, UT",41620,8/26/2021,100,Moderate,Ozone,49-035-0015,10
2021,"Salt Lake City, UT",41620,8/27/2021,107,Unhealthy for Sensitive Groups,PM2.5,49-035-4002,10
2021,"Salt Lake City, UT",41620,8/28/2021,93,Moderate,Ozone,49-035-0015,10
2021,"Salt Lake City, UT",41620,8/29/2021,133,Unhealthy for Sensitive Groups,Ozone,49-035-3006,10
2021,"Salt Lake City, UT",41620,8/30/2021,101,Unhealthy for Sensitive Groups,Ozone,49-035-3016,10
2021,"Salt Lake City, UT",41620,8/31/2021,77,Moderate,Ozone,49-035-3016,10
2021,"Salt Lake City, UT",41620,9/1/2021,61,Moderate,Ozone,49-035-3006,10
2021,"Salt Lake City, UT",41620,9/2/2021,64,Moderate,Ozone,49-035-3016,10
2021,"Salt Lake City, UT",41620,9/3/2021,80,Moderate,Ozone,49-035-3013,10
2021,"Salt Lake City, UT",41620,9/4/2021,119,Unhealthy for Sensitive Groups,Ozone,49-035-3013,10
2021,"Salt Lake City, UT",41620,9/5/2021,115,Unhealthy for Sensitive Groups,Ozone,49-035-3013,10
2021,"Salt Lake City, UT",41620,9/6/2021,100,Moderate,Ozone,49-035-3013,10
2021,"Salt Lake City, UT",41620,9/7/2021,129,Unhealthy for Sensitive Groups,Ozone,49-035-3016,10
2021,"Salt Lake City, UT",41620,9/8/2021,151,Unhealthy,Ozone,49-035-3016,10
2021,"Salt Lake City, UT",41620,9/9/2021,147,Unhealthy for Sensitive Groups,Ozone,49-035-3016,10
2021,"Salt Lake City, UT",41620,9/10/2021,65,Moderate,PM2.5,49-035-3016,10
2021,"Salt Lake City, UT",41620,9/11/2021,62,Moderate,PM2.5,49-035-4002,10
2021,"Salt Lake City, UT",41620,9/12/2021,71,Moderate,Ozone,49-035-3015,10
2021,"Salt Lake City, UT",41620,9/13/2021,67,Moderate,Ozone,49-035-3013,10
2021,"Salt Lake City, UT",41620,9/14/2021,93,Moderate,Ozone,49-035-3013,10
2021,"Salt Lake City, UT",41620,9/15/2021,108,Unhealthy for Sensitive Groups,Ozone,49-035-3016,10
2021,"Salt Lake City, UT",41620,9/16/2021,74,Moderate,Ozone,49-035-0015,10
2021,"Salt Lake City, UT",41620,9/17/2021,84,Moderate,Ozone,49-035-3016,10
2021,"Salt Lake City, UT",41620,9/18/2021,49,Good,PM2.5,49-045-0004,10
2021,"Salt Lake City, UT",41620,9/19/2021,53,Moderate,PM2.5,49-035-3015,10
2021,"Salt Lake City, UT",41620,9/20/2021,48,Good,Ozone,49-035-0015,10
2021,"Salt Lake City, UT",41620,9/21/2021,58,Moderate,Ozone,49-035-3016,10
2021,"Salt Lake City, UT",41620,9/22/2021,71,Moderate,Ozone,49-035-3016,10
2021,"Salt Lake City, UT",41620,9/23/2021,58,Moderate,Ozone,49-035-3013,10
2021,"Salt Lake City, UT",41620,9/24/2021,67,Moderate,Ozone,49-035-0015,10
2021,"Salt Lake City, UT",41620,9/25/2021,87,Moderate,Ozone,49-035-3016,10
2021,"Salt Lake City, UT",41620,9/26/2021,71,Moderate,Ozone,49-035-3013,10
2021,"Salt Lake City, UT",41620,9/27/2021,90,Moderate,Ozone,49-035-0015,10
2021,"Salt Lake City, UT",41620,9/28/2021,65,Moderate,PM10,49-035-3015,9
2021,"Salt Lake City, UT",41620,9/29/2021,44,Good,Ozone,49-035-0015,9
2021,"Salt Lake City, UT",41620,9/30/2021,46,Good,PM2.5,49-035-4002,10
2021,"Salt Lake City, UT",41620,10/1/2021,54,Moderate,PM2.5,49-035-4002,10
2021,"Salt Lake City, UT",41620,10/2/2021,62,Moderate,PM2.5,49-035-3015,10
2021,"Salt Lake City, UT",41620,10/3/2021,61,Moderate,Ozone,49-035-3015,10
2021,"Salt Lake City, UT",41620,10/4/2021,57,Moderate,PM2.5,49-035-3015,10
2021,"Salt Lake City, UT",41620,10/5/2021,56,Moderate,PM2.5,49-035-4002,10
2021,"Salt Lake City, UT",41620,10/6/2021,35,Good,Ozone,49-045-0004,10
2021,"Salt Lake City, UT",41620,10/7/2021,42,Good,Ozone,49-035-3010,10
2021,"Salt Lake City, UT",41620,10/8/2021,34,Good,Ozone,49-045-0004,9
2021,"Salt Lake City, UT",41620,10/9/2021,37,Good,Ozone,49-045-0004,9
2021,"Salt Lake City, UT",41620,10/10/2021,59,Moderate,PM2.5,49-035-4002,9
2021,"Salt Lake City, UT",41620,10/11/2021,38,Good,Ozone,49-035-3013,9
2021,"Salt Lake City, UT",41620,10/12/2021,27,Good,Ozone,49-045-0004,9
2021,"Salt Lake City, UT",41620,10/13/2021,34,Good,Ozone,49-045-0004,9
2021,"Salt Lake City, UT",41620,10/14/2021,39,Good,PM2.5,49-035-4002,9
2021,"Salt Lake City, UT",41620,10/15/2021,40,Good,PM2.5,49-035-4002,9
2021,"Salt Lake City, UT",41620,10/16/2021,59,Moderate,PM2.5,49-035-3014,9
2021,"Salt Lake City, UT",41620,10/17/2021,49,Good,PM2.5,49-035-4002,9
2021,"Salt Lake City, UT",41620,10/18/2021,46,Good,Ozone,49-045-0004,9
2021,"Salt Lake City, UT",41620,10/19/2021,37,Good,Ozone,49-035-2005,9
2021,"Salt Lake City, UT",41620,10/20/2021,41,Good,PM2.5,49-035-3015,9
2021,"Salt Lake City, UT",41620,10/21/2021,54,Moderate,PM2.5,49-035-4002,9
2021,"Salt Lake City, UT",41620,10/22/2021,44,Good,Ozone,49-035-3013,9
